Nom,"Émission de CO2 (en tonnes, en 2022)",Population (2022),Continent
Somalie,940570,17801897,Afrique
Burundi,924150,13321097,Afrique
Guadeloupe,904520,384697,Amérique du Nord
Martinique,899240,349459,Amérique du Nord
Érythrée,804660,3409447,Afrique
Lesotho,779000,2286110,Afrique
Djibouti,761120,1137096,Afrique
Barbade,674170,282318,Amérique du Nord
Gibraltar,663620,37609,Europe
Gambie,611740,2636470,Afrique
Timor-Leste,572620,1369295,Asie
Groenland,465940,55990,Amérique du Nord
Aruba,455060,107782,Amérique du Nord
Samoa,355420,215261,Océanie
Guyane française,354590,298306,Amérique du Sud
Guinée-Bissau,350090,2105529,Afrique
Comores,342880,834188,Afrique
Îles Salomon,318050,781066,Océanie
Bermudes,317540,64749,Amérique du Nord
Îles Caïmans,307220,71591,Amérique du Nord
Antigua-et-Barbuda,277650,92840,Amérique du Nord
République centrafricaine,276060,5098039,Afrique
Belize,269430,402733,Amérique du Nord
Sainte-Lucie,254790,178781,Amérique du Nord
Sahara occidental,241500,568739,Afrique
Vanuatu,218140,313046,Océanie
Tonga,166860,105042,Océanie
Sao Tomé-et-Principe,157900,226305,Afrique
Grenade,122490,116913,Amérique du Nord
Îles Cook,107800,14723,Océanie
Saint-Kitts-et-Nevis,101920,46709,Amérique du Nord
Îles Turques-et-Caïques,88360,45847,Amérique du Nord
Saint-Vincent-et-les-Grenadines,82790,102046,Amérique du Nord
Kiribati,73960,130469,Océanie
Dominique,68810,66826,Amérique du Nord
Îles Vierges britanniques,64670,38319,Amérique du Nord
Saint-Pierre-et-Miquelon,37110,5732,Amérique du Nord
Anguilla,22810,14180,Amérique du Nord
Îles Malouines,21770,3490,Amérique du Sud
Sainte-Hélène,17900,5343,Afrique
Îles Féroé,2110,54011,Europe
